run,seed,fraction,edge_count,strategy,repeat,train_accuracy,test_accuracy,baseline_test_accuracy,test_accuracy_delta
kan_p31_f35_wd0.3_seed14,14,0.01,13,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,1,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,4,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,5,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,6,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,8,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.01,13,random,9,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.05,65,top,0,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.05,65,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,0,0.9970238208770752,0.9968000054359436,1.0,-0.0031999945640563965
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,1,1.0,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,3,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,4,0.9940476417541504,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,5,0.9910714030265808,0.9904000163078308,1.0,-0.00959998369216919
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,6,1.0,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,7,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,8,0.9970238208770752,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.05,65,random,9,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed14,14,0.1,130,top,0,0.9077380895614624,0.8992000222206116,1.0,-0.10079997777938843
kan_p31_f35_wd0.3_seed14,14,0.1,130,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,0,0.9851190447807312,0.9535999894142151,1.0,-0.04640001058578491
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,1,0.9851190447807312,0.9728000164031982,1.0,-0.027199983596801758
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,2,0.9434523582458496,0.9359999895095825,1.0,-0.06400001049041748
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,3,0.961309552192688,0.9327999949455261,1.0,-0.06720000505447388
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,4,0.9791666865348816,0.9711999893188477,1.0,-0.028800010681152344
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,5,0.961309552192688,0.9728000164031982,1.0,-0.027199983596801758
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,6,0.9851190447807312,0.9648000001907349,1.0,-0.03519999980926514
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,7,0.976190447807312,0.9520000219345093,1.0,-0.04799997806549072
kan_p31_f35_wd0.3_seed14,14,0.1,130,random,8,0.9791666865348816,0.9775999784469604,1.0,-0.02240002155303955
